Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Price,Year,Price_Lag_1
45.0,4.5,6.0,2.0,2.0,2.0,4.4,2024,6.83
70.0,4.5,6.0,3.0,3.0,3.0,6.8,2024,4.4
45.0,4.5,24.0,3.0,3.0,3.0,7.0,2024,6.8
85.0,4.5,18.0,2.0,4.0,4.0,5.9,2024,7.0
48.0,4.5,2.5,4.0,5.0,3.0,6.4,2024,5.9
56.1,4.2,6.0,4.0,4.0,3.0,6.3,2024,6.4
40.0,4.5,6.0,5.0,3.0,3.0,7.48,2024,6.3
36.5,3.6,4.0,6.0,3.0,4.0,4.1,2024,7.48
36.0,4.5,6.0,4.0,3.0,3.0,7.49,2024,4.1
64.0,4.0,6.0,5.0,4.0,5.0,6.7,2024,7.49
12.0,3.0,3.0,5.0,3.0,4.0,1.8,2024,6.7
90.0,4.5,6.0,3.0,3.0,2.0,3.2,2024,1.8
53.0,4.3,22.0,5.0,6.0,5.0,6.39,2024,3.2
96.0,5.5,6.0,2.0,5.0,5.0,8.5,2024,6.39
31.0,6.2,6.0,3.0,4.0,3.0,6.8,2024,8.5
56.0,3.85,2.8,4.0,4.0,5.0,8.5,2024,6.8
116.8,4.5,6.0,3.0,3.0,2.0,7.3,2024,8.5
56.0,5.0,13.0,5.0,3.0,3.0,7.6,2024,7.3
64.0,4.0,6.0,5.0,6.0,6.0,5.98,2024,7.6
65.0,5.5,7.0,3.0,3.0,3.0,4.7,2024,5.98
50.0,4.5,6.0,4.0,4.0,4.0,7.0,2024,4.7
100.0,5.0,6.0,3.0,3.0,3.0,2.15,2024,7.0
70.0,6.6,6.0,3.0,3.0,3.0,9.6,2024,2.15
55.0,5.0,3.0,5.0,4.0,5.0,6.8,2024,9.6
37.0,4.0,6.0,6.0,3.0,3.0,5.6,2024,6.8
45.0,3.5,2.0,4.0,4.0,3.0,4.95,2024,5.6
30.0,6.0,2.0,6.0,3.0,4.0,4.6,2024,4.95
67.5,4.5,6.0,4.0,4.0,4.0,4.5,2024,4.6
180.0,9.0,15.0,3.0,3.0,3.0,10.0,2024,4.5
45.0,4.5,6.0,5.0,3.0,4.0,5.7,2024,10.0
180.0,9.0,6.0,3.0,5.0,6.0,9.7,2024,5.7
46.5,5.0,6.0,3.0,3.0,3.0,2.8,2024,9.7
68.0,4.0,5.0,1.0,3.0,3.0,2.8,2024,2.8
120.0,4.5,6.0,3.0,3.0,3.0,7.0,2024,2.8
40.0,4.5,6.0,2.0,2.0,2.0,1.38,2024,7.0
120.0,4.5,6.0,5.0,3.0,3.0,8.0,2024,1.38
98.0,7.0,27.0,3.0,3.0,3.0,6.9,2024,8.0
80.0,4.5,12.0,3.0,4.0,4.0,1.5,2024,6.9
32.0,4.5,6.0,5.0,3.0,4.0,5.7,2024,1.5
75.0,8.0,3.0,1.0,3.0,1.0,2.35,2024,5.7
90.0,6.0,30.0,3.0,3.0,4.0,5.8,2024,2.35
86.0,4.0,3.0,2.0,8.0,2.0,7.6,2024,5.8
70.0,4.5,6.0,3.0,4.0,4.0,2.7,2024,7.6
120.0,5.0,6.0,5.0,3.0,3.0,10.0,2024,2.7
41.8,4.5,6.0,3.0,3.0,3.0,2.85,2024,10.0
48.6,4.5,6.0,3.0,2.0,2.0,2.95,2024,2.85
56.0,4.5,7.0,3.0,3.0,3.0,4.65,2024,2.95
32.0,4.5,15.0,3.0,3.0,4.0,3.6,2024,4.65
272.0,4.5,6.0,3.0,4.0,5.0,4.5,2024,3.6
42.0,5.6,3.0,5.0,3.0,4.0,8.5,2024,4.5
114.0,6.0,36.0,5.0,3.0,3.0,8.5,2024,8.5
53.0,4.5,5.0,2.0,4.0,3.0,4.35,2024,8.5
33.0,3.3,3.5,4.0,4.0,4.0,5.4,2024,4.35
68.0,4.0,13.0,3.0,3.0,3.0,8.5,2024,5.4
40.0,4.25,3.0,5.0,4.0,4.0,6.3,2024,8.5
72.0,4.5,10.0,3.0,4.0,4.0,8.35,2024,6.3
40.0,4.5,6.0,1.0,2.0,2.0,2.35,2024,8.35
20.0,4.5,6.0,3.0,2.0,2.0,2.8,2024,2.35
91.0,5.0,6.0,3.0,3.0,3.0,3.5,2024,2.8
